test_id,number,title,group,oracle,candidate,primary_classification,reason_code
0077,77,syn_definition.at:123: 77. INITIAL / RECURSIVE before COMMON,syn_definition.at:123,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY containing-prog.cob
0078,78,syn_definition.at:155: 78. Undefined data name,syn_definition.at:155,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0079,79,syn_definition.at:173: 79. Undefined group name,syn_definition.at:173,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0080,80,syn_definition.at:194: 80. Undefined data name in group,syn_definition.at:194,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0081,81,syn_definition.at:217: 81. Reference not a group name,syn_definition.at:217,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0082,82,syn_definition.at:239: 82. Incomplete 01 definition,syn_definition.at:239,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0083,83,syn_definition.at:257: 83. error handling in conditions,syn_definition.at:257,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0084,84,syn_definition.at:333: 84. Same paragraphs in different sections,syn_definition.at:333,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog2.cob
0085,85,syn_definition.at:376: 85. GO TO sections and foreign paragraphs,syn_definition.at:376,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COBC -fdiagnostics-plain-output -fsyntax-only prog.cob
0086,86,syn_definition.at:413: 86. Redefinition of 01 items,syn_definition.at:413,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COBC -fsyntax-only prog.cob
0087,87,syn_definition.at:442: 87. Redefinition of 01 and 02 items,syn_definition.at:442,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0088,88,syn_definition.at:462: 88. Redefinition of 02 items,syn_definition.at:462,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog2.cob
0089,89,syn_definition.at:495: 89. Redefinition of 77 items,syn_definition.at:495,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0090,90,syn_definition.at:515: 90. Redefinition of 01 and 77 items,syn_definition.at:515,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0091,91,syn_definition.at:535: 91. Redefinition of 88 items,syn_definition.at:535,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0092,92,syn_definition.at:556: 92. Redefinition of program-name by other programs,syn_definition.at:556,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY --ffold-call=upper -fdiagnostics-show-option prog.cob
0093,93,syn_definition.at:636: 93. Redefinition of program-name within program,syn_definition.at:636,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0094,94,syn_definition.at:666: 94. Redefinition of function-prototype name,syn_definition.at:666,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0095,95,syn_definition.at:691: 95. PROCEDURE DIVISION RETURNING OMITTED: main,syn_definition.at:691,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate compile-phase failure: $COMPILE prog.cob
0096,96,syn_definition.at:711: 96. PROCEDURE DIVISION RETURNING OMITTED: FUNCTION,syn_definition.at:711,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0097,97,syn_definition.at:730: 97. PROCEDURE DIVISION RETURNING item,syn_definition.at:730,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0098,98,syn_definition.at:825: 98. Data item with same name as program-name,syn_definition.at:825,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0099,99,syn_definition.at:852: 99. Ambiguous reference to 02 items,syn_definition.at:852,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0100,100,syn_definition.at:878: 100. Ambiguous reference to 02 and 03 items,syn_definition.at:878,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0101,101,syn_definition.at:903: 101. Ambiguous reference with qualification,syn_definition.at:903,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0102,102,Unique reference with ambiguous qualifiers,syn_definition.at:931,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0103,103,syn_definition.at:955: 103. SYNCHRONIZED clause,syn_definition.at:955,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0104,104,syn_definition.at:998: 104. Undefined procedure name,syn_definition.at:998,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0105,105,syn_definition.at:1018: 105. Redefinition of section names,syn_definition.at:1018,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0106,106,syn_definition.at:1043: 106. Redefinition of section and paragraph names,syn_definition.at:1043,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0107,107,syn_definition.at:1069: 107. Redefinition of label and variable names,syn_definition.at:1069,ORACLE_XFAIL,expected-failure,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0108,108,Redefinition of paragraph names,syn_definition.at:1106,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0109,109,syn_definition.at:1132: 109. Ambiguous reference to paragraph name,syn_definition.at:1132,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0110,110,syn_definition.at:1158: 110. Non-matching level numbers (extension),syn_definition.at:1158,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY -frelax-level-hierarchy prog.cob
0111,111,syn_definition.at:1190: 111. CALL BY VALUE alphanumeric item (extension),syn_definition.at:1190,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0112,112,syn_definition.at:1212: 112. CALL BY VALUE national item (extension),syn_definition.at:1212,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0113,113,CALL BY VALUE figurative constants,syn_definition.at:1235,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0114,114,syn_definition.at:1269: 114. Duplicate identification division header,syn_definition.at:1269,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0115,115,syn_definition.at:1284: 115. RETURNING in STOP RUN / GOBACK / EXIT PROGRAM,syn_definition.at:1284,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE -fnot-register=return-code \
0116,116,syn_definition.at:1335: 116. OSVS register CURRENT-DATE and TIME-OF-DAY,syn_definition.at:1335,ORACLE_XFAIL,expected-failure,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0117,117,syn_definition.at:1405: 117. Invalid ENVIRONMENT DIVISION order,syn_definition.at:1405,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY -fincorrect-conf-sec-order=error prog.cob
0118,118,syn_definition.at:1430: 118. Function without END FUNCTION,syn_definition.at:1430,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0119,119,syn_definition.at:1444: 119. Nested programs without END PROGRAM,syn_definition.at:1444,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0120,120,syn_definition.at:1466: 120. Nested programs not in procedure division,syn_definition.at:1466,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0121,121,syn_definition.at:1485: 121. Screen section starts with 78-level,syn_definition.at:1485,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0122,122,syn_definition.at:1501: 122. Invalid PICTURE strings,syn_definition.at:1501,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=cobol2014 prog.cob
0123,123,syn_definition.at:1761: 123. PICTURE string with control character,syn_definition.at:1761,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0124,124,syn_definition.at:1779: 124. PICTURE strings invalid with BLANK WHEN ZERO,syn_definition.at:1779,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0125,125,syn_definition.at:1802: 125. PICTURE strings invalid with USAGE,syn_definition.at:1802,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0126,126,syn_definition.at:1822: 126. Edited monetary PICTURE strings,syn_definition.at:1822,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0127,127,syn_definition.at:1849: 127. ALPHABET definition,syn_definition.at:1849,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0128,128,syn_definition.at:1872: 128. PROGRAM COLLATING SEQUENCE,syn_definition.at:1872,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0129,129,syn_definition.at:2055: 129. RENAMES item,syn_definition.at:2055,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=cobol2014 prog.cob
0130,130,"syn_definition.at:2129: 130. RENAMES of 01-, 66- and 77-level items",syn_definition.at:2129,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=cobol2014 prog.cob
0131,131,syn_definition.at:2155: 131. SAME AS clause,syn_definition.at:2155,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=mf-strict prog.cob
0132,132,syn_definition.at:2219: 132. TYPEDEF clause,syn_definition.at:2219,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0133,133,syn_definition.at:2571: 133. LIKE clause,syn_definition.at:2571,ORACLE_XFAIL,expected-failure,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0134,134,syn_definition.at:2629: 134. APPLY COMMIT clause,syn_definition.at:2629,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0135,135,syn_definition.at:2734: 135. GLOBAL record-names,syn_definition.at:2734,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0136,136,syn_definition.at:2853: 136. Invalid USE BEFORE,syn_definition.at:2853,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=default prog.cob 
0137,137,syn_subscripts.at:23: 137. Non-numeric subscript,syn_subscripts.at:23,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0138,138,syn_subscripts.at:50: 138. Subscript range check,syn_subscripts.at:50,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
